id,title,url,remote_url_url,isbn,in_collection,total_copies,copies_available,loan_duration,is_checked_out,created_at,updated_at
2,God Is Not Great,,,9780771041433,t,1,1,7,f,2013-03-30 21:16:51.828123,2013-03-30 21:16:51.828123
5,After the Affair: Healing the Pain and Rebuilding Trust When a Partner Has Been Unfaithful,72608.jpg,,60928174,t,,,,f,2013-03-30 21:18:03.915114,2013-03-30 21:18:03.915114
6,All Will Be Revealed,342708.jpg,,1596922052,t,,,,f,2013-03-30 21:18:05.412176,2013-03-30 21:18:05.412176
7,Altered Fates: The Genetic Re-engineering of Human Life,1319353.jpg,,393315282,t,,,,f,2013-03-30 21:18:06.576097,2013-03-30 21:18:06.576097
8,Antigonick,13305951.jpg,,811219577,t,,,,f,2013-03-30 21:18:07.804383,2013-03-30 21:18:07.804383
9,Baby Love,86485.jpg,,1594489432,t,,,,f,2013-03-30 21:18:08.779727,2013-03-30 21:18:08.779727
10,"Behold, the Man",60146.jpg,,1585677647,t,,,,f,2013-03-30 21:18:09.915262,2013-03-30 21:18:09.915262
11,Catechism of the Catholic Church,110795.jpg,,385479670,t,,,,f,2013-03-30 21:18:11.118199,2013-03-30 21:18:11.118199
12,Chaos: The Making of a New Science,64582.jpg,,140092501,t,,,,f,2013-03-30 21:18:15.328494,2013-03-30 21:18:15.328494
13,Clock 3,17562760.jpg,,80213825,t,,,,f,2013-03-30 21:18:19.117195,2013-03-30 21:18:19.117195
14,Consider David Foster Wallace: Critical Essays,8556384.jpg,,976146576,t,,,,f,2013-03-30 21:18:20.541807,2013-03-30 21:18:20.541807
15,Damage Control: Why Everything You Know About Crisis Management Is Wrong,595919.jpg,,1591841542,t,,,,f,2013-03-30 21:18:22.540009,2013-03-30 21:18:22.540009
16,Dead Man Walking,133793.jpg,,679751319,t,,,,f,2013-03-30 21:18:23.706781,2013-03-30 21:18:23.706781
17,Diary of a Blood Donor,2242223.jpg,,1564784967,t,,,,f,2013-03-30 21:18:24.838813,2013-03-30 21:18:24.838813
18,Duchamp,899886.jpg,,805057897,t,,,,f,2013-03-30 21:18:25.960228,2013-03-30 21:18:25.960228
19,Eat or Be Eaten!: Jungle Warfare for the Corporate Master Politician,744432.jpg,,735201439,t,,,,f,2013-03-30 21:18:29.318402,2013-03-30 21:18:29.318402
20,Entrance to a colonial pageant in which we all begin to intricate,10278019.jpg,,982541651,t,,,,f,2013-03-30 21:18:30.639345,2013-03-30 21:18:30.639345
21,Exegesis,581732.jpg,,37570051,t,,,,f,2013-03-30 21:18:31.539322,2013-03-30 21:18:31.539322
22,Ferdydurke,15581.jpg,,300082401,t,,,,f,2013-03-30 21:18:32.447558,2013-03-30 21:18:32.447558
23,Four Blondes,6613.jpg,,80213825,t,,,,f,2013-03-30 21:18:33.799174,2013-03-30 21:18:33.799174
24,Girona,17562735.jpg,,80213825,t,,,,f,2013-03-30 21:18:34.971669,2013-03-30 21:18:34.971669
25,Grotesque,25366.jpg,,1400044944,t,,,,f,2013-03-30 21:18:35.634373,2013-03-30 21:18:35.634373
26,Guilty: Hollywood's Verdict on Arabs After 9/11,1076491.jpg,,1566566843,t,,,,f,2013-03-30 21:18:36.965639,2013-03-30 21:18:36.965639
27,He is...I Say: How I Learned to Stop Worrying and Love Neil Diamond,3498364.jpg,,306817845,t,,,,f,2013-03-30 21:18:38.711554,2013-03-30 21:18:38.711554
28,In Heaven Everything is Fine: The Unsolved Life of Peter Ivers and the Lost History of New Wave Theatre,2855304.jpg,,1416551204,t,,,,f,2013-03-30 21:18:41.492276,2013-03-30 21:18:41.492276
29,Journeys in Dream and Imagination,1889736.jpg,,941423670,t,,,,f,2013-03-30 21:18:42.817022,2013-03-30 21:18:42.817022
30,Language of the Lost & Found,17479684.jpg,,80213825,t,,,,f,2013-03-30 21:18:43.828794,2013-03-30 21:18:43.828794
31,Life's Little Deconstruction Book: Self-Help for the Post-Hip,513756.jpg,,393318702,t,,,,f,2013-03-30 21:18:44.894573,2013-03-30 21:18:44.894573
32,Lullabies for Little Criminals,22207.jpg,,60875070,t,,,,f,2013-03-30 21:18:46.563579,2013-03-30 21:18:46.563579
33,Milton In America,1358742.jpg,,749386258,t,,,,f,2013-03-30 21:18:51.546062,2013-03-30 21:18:51.546062
34,Morality Play,883995.jpg,,393315606,t,,,,f,2013-03-30 21:18:54.154947,2013-03-30 21:18:54.154947
