book_id,title,author,author_l_f,additional_authors ,isbn,isbn_13,my_rating,average_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_position,exclusive_shelf,my_review,spoiler,private_notes,read_count,recommended_for,recommended_by,owned_copies,original_purchase_date,original_purchase_location,condition,condition_description,bcid,in_collection,total_copies,copies_available,loan_duration,create_at,update_at
715995,The Foundation Pit,Andrey Platonov,"Platonov, Andrey",Mirra Ginsburg,0810111454,9780810111455,0,3.78,Northwestern University Press,Paperback,141,1994,1969,,3/9/13,"d-julia-f, on-our-shelf","d-julia-f (#1), on-our-shelf (#679)",read,,,,,,,0,,,,,,,,,,,
17562760,Clock 3,Jacqueline Waters,"Waters, Jacqueline","Cecilia Corrigan, Jenny Zhang, Dan Owen, Trisha Low, Jennifer K. Dick, Laura Elrick, Mario Santiago Papasquiro, Cole Heinowitz, Bethany Ides, Judah Rubin, Josef Kaplan, Lynn Xu",,,0,0,O'Clock Press,,50,2012,2012,,3/7/13,"d-jordan-d, on-our-shelf","d-jordan-d (#9), on-our-shelf (#678)",read,,,,,,,0,,,,,,,,,,,
189938,TAZ: The Temporary Autonomous Zone (New Autonomy),Peter Lamborn Wilson,"Wilson, Peter Lamborn",Hakim Bey,1570271518,9781570271519,0,4.06,Autonomedia,Paperback,147,2003,1991,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#677), d-jordan-d (#8)",read,,,,,,,0,,,,,,,,,,,
17449471,A Dark Dreambox of Another Kind: The Poems of Alfred Starr Hamilton,Alfred Starr Hamilton,"Hamilton, Alfred Starr",,,9780988464308,0,5,The Song Cave,Paperback,232,2013,2013,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#676), d-jordan-d (#7)",read,,,,,,,0,,,,,,,,,,,
17562735,Girona,Azareen Van der Vliet Oloomi,"Oloomi, Azareen Van der Vliet",,,,0,0,New Herring Press,,23,2011,2011,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#675), d-jordan-d (#6)",read,,,,,,,0,,,,,,,,,,,
8556384,Consider David Foster Wallace: Critical Essays,David Hering,"Hering, David",,0976146576,9780976146575,0,3.32,SSMG Press,Paperback,244,2010,2010,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#674), d-jordan-d (#5)",read,,,,,,,0,,,,,,,,,,,
9550623,"Between Parentheses: Essays, Articles, and Speeches, 1998-2003",Roberto BolaÃ±o,"BolaÃ±o, Roberto","Ignacio EchevarrÃ_a, Natasha Wimmer",0811218147,9780811218146,0,4.2,New Directions,Hardcover,352,2011,2004,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#673), d-jordan-d (#4)",read,,,,,,,0,,,,,,,,,,,
230861,The Land of Green Plums,Herta MÃ_ller,"MÃ_ller, Herta",Michael Hofmann,1862072604,9781862072602,0,3.65,Granta Books (UK),Paperback,256,1999,1994,,3/7/13,"on-our-shelf, d-jordan-d","on-our-shelf (#672), d-jordan-d (#3)",read,,,,,,,0,,,,,,,,,,,
5814,Slow Learner,Thomas Pynchon,"Pynchon, Thomas",,0099532514,9780099532514,0,3.46,Vintage/Ebury (a Division of Random,Paperback,194,1995,1984,,3/7/13,"d-jordan-d, on-our-shelf","d-jordan-d (#2), on-our-shelf (#671)",read,,,,,,,0,,,,,,,,,,,
45759,Open City Number Five: Change or Die,Thomas Beller,"Beller, Thomas","Daniel Pinchbeck, Jerome Badanes, Mary Gaitskill, Delmore Schwartz, David Foster Wallace, Irvine Welsh",1890447161,9781890447168,0,3.69,Open City Books,Paperback,240,1997,1997,,3/7/13,"d-jordan-d, on-our-shelf","d-jordan-d (#1), on-our-shelf (#670)",read,,,,,,,0,,,,,,,,,,,
10845531,Suicide,Ã‰douard LevÃ©,"LevÃ©, Ã‰douard",Jan Steyn,1564786285,9781564786289,0,4.07,Dalkey Archive Press,Paperback,128,2011,2008,,2/8/13,on-our-shelf,on-our-shelf (#71),read,,,,,,,0,,,,,,,,,,,
10346326,Robert Seydel: Book of Ruth,Robert Seydel,"Seydel, Robert",,0979956250,9780979956256,0,4.55,Siglio,Paperback,152,2011,2011,,3/4/13,"on-our-shelf, chris-s","on-our-shelf (#669), chris-s (#6)",read,,,,,,,0,,,,,,,,,,,
10278019,Entrance to a colonial pageant in which we all begin to intricate,Johannes Goransson,"Goransson, Johannes",,0982541651,9780982541654,0,3.98,Tarpaulin Sky Press,Paperback,82,2011,2011,,3/4/13,"on-our-shelf, chris-s","on-our-shelf (#668), chris-s (#5)",read,,,,,,,0,,,,,,,,,,,
13518965,"Dear Jenny, We Are All Find",Jenny Zhang,"Zhang, Jenny",,0985118202,9780985118204,0,4.34,Octopus Books,Paperback,103,2012,2012,,3/4/13,"chris-s, on-our-shelf","chris-s (#4), on-our-shelf (#667)",read,,,,,,,0,,,,,,,,,,,
13305951,Antigonick,Anne Carson,"Carson, Anne",Bianca Stone,0811219577,9780811219570,0,4.25,New Directions,Hardcover,180,2012,2012,,3/4/13,"chris-s, on-our-shelf","chris-s (#3), on-our-shelf (#666)",read,,,,,,,0,,,,,,,,,,,
15581,Ferdydurke,Witold Gombrowicz,"Gombrowicz, Witold",Danuta Borchardt,0300082401,9780300082401,0,3.85,Yale University Press,Paperback,320,2000,1937,,3/4/13,"chris-s, on-our-shelf","chris-s (#2), on-our-shelf (#665)",read,,,,,,,0,,,,,,,,,,,
6494070,The Short Stories of Henry James,Henry James,"James, Henry",Clifton Fadiman,,,0,4.29,Random House,Hardcover,644,1945,1908,,3/4/13,on-our-shelf,on-our-shelf (#663),read,,,,,,,0,,,,,,,,,,,
4315527,Oxford American Writer's Thesaurus,Christine A. Lindberg,"Lindberg, Christine A.",Rick Moody,0195342844,9780195342840,0,5,"Oxford University Press, USA",Hardcover,1052,2008,2008,,3/4/13,on-our-shelf,on-our-shelf (#662),read,,,,,,,0,,,,,,,,,,,
85326,Of Grammatology,Jacques Derrida,"Derrida, Jacques",Gayatri Chakravorty Spivak,0801858305,9780801858307,0,3.84,The Johns Hopkins University Press,Paperback,456,1998,1967,,3/4/13,"on-our-shelf, matts-thesis","on-our-shelf (#661), matts-thesis (#3)",read,,,,,,,0,,,,,,,,,,,
398086,The Literary Guide to the Bible,Robert Alter,"Alter, Robert",Frank Kermode,0674875311,9780674875319,0,3.79,Belknap Press,Paperback,696,1990,1987,,3/4/13,"matts-thesis, on-our-shelf","matts-thesis (#2), on-our-shelf (#660)",read,,,,,,,0,,,,,,,,,,,
4339172,The Concise Oxford Dictionary,Judy Pearsall,"Pearsall, Judy",,0198602596,9780198602590,0,4.5,Oxford University Press,Hardcover,1696,1999,1999,,3/4/13,on-our-shelf,on-our-shelf (#658),read,,,,,,,0,,,,,,,,,,,
110795,Catechism of the Catholic Church,U.S. Catholic Church,"Church, U.S. Catholic","The Holy See, United States Conference of Catholic Bishops, Pope John Paul II, Catholic Church",0385479670,9780385479677,0,4.29,Image,Paperback,864,1995,1992,,3/4/13,"on-our-shelf, matts-thesis","on-our-shelf (#659), matts-thesis (#1)",read,,,,,,,0,,,,,,,,,,,
17479684,Language of the Lost & Found,Deborah Fried-Rubin,"Fried-Rubin, Deborah",,,9781622291625,0,0,Finishing Line Press,,30,2012,2012,,3/4/13,on-our-shelf,on-our-shelf (#657),read,,,,,,,0,,,,,,,,,,,
142583,"Memory for Forgetfulness: August, Beirut, 1982",Mahmoud Darwish,"Darwish, Mahmoud",Ibrahim Muhawi,0520087682,9780520087682,0,4.42,University of California Press,Paperback,182,1995,1995,,3/3/13,"d-jon-l, on-our-shelf","d-jon-l (#8), on-our-shelf (#656)",read,,,,,,,0,,,,,,,,,,,
2233585,Ultimate Blogs: Masterworks from the Wild Web,Sarah Boxer,"Boxer, Sarah",,0307278069,9780307278067,0,2.73,Vintage,Paperback,368,2008,2008,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#655), d-spencer (#180)",read,,,,,,,0,,,,,,,,,,,
1573703,Famine,Todd Komarnicki,"Komarnicki, Todd",,1559703652,9781559703659,0,3.12,Arcade Publishing,Hardcover,256,1997,1997,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#653), d-spencer (#178)",read,,,,,,,0,,,,,,,,,,,
1319353,Altered Fates: The Genetic Re-engineering of Human Life,Jeff  Lyon,"Lyon, Jeff",,0393315282,9780393315288,0,4.2,W. W. Norton & Company,Paperback,592,1996,1995,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#652), d-spencer (#177)",read,,,,,,,0,,,,,,,,,,,
22207,Lullabies for Little Criminals,Heather O'Neill,"O'Neill, Heather",,0060875070,9780060875077,0,3.88,Harper Perennial,Paperback,330,2006,2006,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#651), d-spencer (#176)",read,,,,,,,0,,,,,,,,,,,
1650986,The Brains of Rats,Michael Blumlein,"Blumlein, Michael",,0910489289,9780910489287,0,3.65,Scream Press,Library Binding,0,1990,1990,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#654), d-spencer (#179)",read,,,,,,,0,,,,,,,,,,,
133793,Dead Man Walking,Helen Prejean,"Prejean, Helen",,0679751319,9780679751311,0,4.02,Vintage,Paperback,288,1994,1993,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#650), d-spencer (#175)",read,,,,,,,0,,,,,,,,,,,
124711,The Big Girls,Susanna Moore,"Moore, Susanna",,1400041902,9781400041909,0,3.05,Knopf,Hardcover,256,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#649), d-spencer (#174)",read,,,,,,,0,,,,,,,,,,,
137321,Thomas Mann: Eros And Literature,Anthony Heilbut,"Heilbut, Anthony",,0333674472,9780333674475,0,3.67,,,,,1996,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#648), d-spencer (#173)",read,,,,,,,0,,,,,,,,,,,
1110713,"Options: The Secret Life of Steve Jobs, A Parody",Daniel Lyons,"Lyons, Daniel",,0306815842,9780306815843,0,3.67,Da Capo Press,Hardcover,256,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#647), d-spencer (#172)",read,,,,,,,0,,,,,,,,,,,
72608,After the Affair: Healing the Pain and Rebuilding Trust When a Partner Has Been Unfaithful,Janis Abrahms Spring,"Spring, Janis Abrahms",Michael Spring,0060928174,9780060928179,0,3.76,William Morrow Paperbacks,Paperback,304,1997,1996,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#646), d-spencer (#171)",read,,,,,,,0,,,,,,,,,,,
1334724,The Alphabet Man,Richard Grossman,"Grossman, Richard",,0932511775,9780932511775,0,3.71,Fiction Collective 2,Paperback,443,1993,2011,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#645), d-spencer (#170)",read,,,,,,,0,,,,,,,,,,,
2242223,Diary of a Blood Donor,Mati Unt,"Unt, Mati",,1564784967,9781564784964,0,3.42,Dalkey Archive Press,Paperback,212,2008,1990,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#644), d-spencer (#169)",read,,,,,,,0,,,,,,,,,,,
914478,Rancid Aluminium,James Hawes,"Hawes, James",,0099759713,9780099759713,0,2.87,,,,,1997,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#643), d-spencer (#168)",read,,,,,,,0,,,,,,,,,,,
883995,Morality Play,Barry Unsworth,"Unsworth, Barry",,0393315606,9780393315608,0,3.71,W. W. Norton & Company,Paperback,224,1996,1995,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#642), d-spencer (#167)",read,,,,,,,0,,,,,,,,,,,
1023051,I Killed Hemingway,William McCranor Henderson,"Henderson, William McCranor",,0003121192,9780312088163,0,3.34,St. Martin's Press,Hardcover,313,1993,1993,,3/2/13,"d-spencer, on-our-shelf","d-spencer (#166), on-our-shelf (#641)",read,,,,,,,0,,,,,,,,,,,
1358742,Milton In America,Peter Ackroyd,"Ackroyd, Peter",,0749386258,9780749386252,0,3.25,Minerva,Paperback,276,1997,1986,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#640), d-spencer (#165)",read,,,,,,,0,,,,,,,,,,,
30683,The Unbinding,Walter Kirn,"Kirn, Walter",,0307277410,9780307277411,0,2.61,Anchor,Paperback,176,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#639), d-spencer (#164)",read,,,,,,,0,,,,,,,,,,,
3498364,He is...I Say: How I Learned to Stop Worrying and Love Neil Diamond,David Wild,"Wild, David",,0306817845,9780306817847,0,3.45,Da Capo Press,Hardcover,224,2008,2008,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#638), d-spencer (#163)",read,,,,,,,0,,,,,,,,,,,
342708,All Will Be Revealed,Robert Anthony Siegel,"Siegel, Robert Anthony",,1596922052,9781596922051,0,3.5,MacAdam/Cage Publishing,Hardcover,282,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#637), d-spencer (#162)",read,,,,,,,0,,,,,,,,,,,
92555,The Pesthouse,Jim Crace,"Crace, Jim",,0385520751,9780385520751,0,3.42,Nan A. Talese,Hardcover,272,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#636), d-spencer (#161)",read,,,,,,,0,,,,,,,,,,,
328704,The Self Awakened: Pragmatism Unbound,Roberto Mangabeira Unger,"Unger, Roberto Mangabeira",,0674023544,9780674023543,0,3.38,Harvard University Press,Hardcover,288,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#635), d-spencer (#160)",read,,,,,,,0,,,,,,,,,,,
64582,Chaos: The Making of a New Science,James Gleick,"Gleick, James",,0140092501,9780140092509,0,3.96,Penguin Books,Paperback,368,1988,1987,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#634), d-spencer (#159)",read,,,,,,,0,,,,,,,,,,,
406810,Sick: The Untold Story of America's Health Care Crisis---and the People Who Pay the Price,Jonathan Cohn,"Cohn, Jonathan",,0060580453,9780060580452,0,3.73,HarperCollins Publishers,Hardcover,320,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#633), d-spencer (#158)",read,,,,,,,0,,,,,,,,,,,
80190,Neck Deep and Other Predicaments: Essays,Ander Monson,"Monson, Ander",,1555974597,9781555974596,0,3.87,Graywolf Press,Paperback,190,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#632), d-spencer (#157)",read,,,,,,,0,,,,,,,,,,,
86485,Baby Love,Rebecca Walker,"Walker, Rebecca",,1594489432,9781594489433,0,3.23,Riverhead Hardcover,Hardcover,224,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#631), d-spencer (#156)",read,,,,,,,0,,,,,,,,,,,
1076491,Guilty: Hollywood's Verdict on Arabs After 9/11,Jack G. Shaheen,"Shaheen, Jack G.",,1566566843,9781566566841,0,4.1,Olive Branch Press,Paperback,198,2008,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#630), d-spencer (#155)",read,,,,,,,0,,,,,,,,,,,
433716,"Ha'penny (Small Change, #2)",Jo Walton,"Walton, Jo",,0765318539,9780765318534,0,3.93,Tor Books,Hardcover,319,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#629), d-spencer (#154)",read,,,,,,,0,,,,,,,,,,,
1094818,Wasted: Tales of a Gen X Drunk,Mark Gauvreau Judge,"Judge, Mark Gauvreau",,1568381425,9781568381428,0,2,Hazelden Publishing & Educational Services,Hardcover,250,1997,1997,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#628), d-spencer (#153)",read,,,,,,,0,,,,,,,,,,,
682298,The Bird Woman: A Novel,Kerry Hardie,"Hardie, Kerry",,0316076236,9780316076234,0,3.58,"Little, Brown and Company",Hardcover,384,2006,,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#627), d-spencer (#152)",read,,,,,,,0,,,,,,,,,,,
595919,Damage Control: Why Everything You Know About Crisis Management Is Wrong,Eric Dezenhall,"Dezenhall, Eric",John Weber,1591841542,9781591841548,0,3.48,Portfolio Hardcover,Hardcover,224,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#626), d-spencer (#151)",read,,,,,,,0,,,,,,,,,,,
212493,Yeats Is Dead!: A Mystery by 15 Irish Writers,Joseph O'Connor,"O'Connor, Joseph","Frank McCourt, Roddy Doyle, Conor McPherson, Gene Kerrigan, Gina Moxley, Marian Keyes, Anthony Cronin, Owen O'Neill, Hugo Hamilton, Charlie O'Neill, Tom Humphries, Donal O'Kelly, Pauline McLynn, Gerard Stembridge",0375727566,9780375727566,0,3.44,Vintage,Paperback,259,2002,2001,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#625), d-spencer (#150)",read,,,,,,,0,,,,,,,,,,,
6613,Four Blondes,Candace Bushnell,"Bushnell, Candace",,080213825X,9780802138255,0,2.61,Grove Press,Paperback,256,2001,2000,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#624), d-spencer (#149)",read,,,,,,,0,,,,,,,,,,,
899886,Duchamp,Calvin Tomkins,"Tomkins, Calvin",,0805057897,9780805057898,0,4.16,Holt Paperbacks,Paperback,560,1998,1996,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#623), d-spencer (#148)",read,,,,,,,0,,,,,,,,,,,
2159020,To Read or Not to Read: Answers to All Your Questions about Dyslexia,Daphne M. Hurford,"Hurford, Daphne M.",,0684839504,9780684839509,0,2.67,Scribner Book Company,Hardcover,240,1998,1998,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#621), d-spencer (#146)",read,,,,,,,0,,,,,,,,,,,
2855304,In Heaven Everything is Fine: The Unsolved Life of Peter Ivers and the Lost History of New Wave Theatre,Josh Frank,"Frank, Josh",Charlie Buckholtz,1416551204,9781416551201,0,3.72,Free Press,Hardcover,352,2008,2008,,3/2/13,"d-spencer, on-our-shelf","d-spencer (#147), on-our-shelf (#622)",read,,,,,,,0,,,,,,,,,,,
135049,Worst Fears,Fay Weldon,"Weldon, Fay",,0871136821,9780871136824,0,3.28,Atlantic Monthly Press,Paperback,208,1997,1996,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#620), d-spencer (#145)",read,,,,,,,0,,,,,,,,,,,
60146,Behold the Man,Michael Moorcock,"Moorcock, Michael",,1585677647,9781585677641,0,3.78,Overlook TP,Paperback,124,2007,1969,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#619), d-spencer (#144)",read,,,,,,,0,,,,,,,,,,,
1472136,Movies and the Moral Adventure of Life,Alan A. Stone,"Stone, Alan A.",,0262195674,9780262195676,0,4.5,MIT Press (MA),Hardcover,,2007,2007,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#618), d-spencer (#143)",read,,,,,,,0,,,,,,,,,,,
51942,Robert Cormier: Daring to Disturb the Universe,Patty Campbell,"Campbell, Patty",,0385730462,9780385730464,0,3.89,Delacorte Books for Young Readers,Paperback,304,2011,2006,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#617), d-spencer (#142)",read,,,,,,,0,,,,,,,,,,,
1889736,Journeys in Dream and Imagination,Artur Lundkvist,"Lundkvist, Artur",,0941423670,9780941423670,0,4.5,Four Walls Eight Windows,Hardcover,129,1991,1984,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#616), d-spencer (#141)",read,,,,,,,0,,,,,,,,,,,
1449588,Thinking About Magritte,Kate Sterns,"Sterns, Kate",,0679412077,9780679412076,0,3.42,Pantheon,Hardcover,141,1992,1992,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#615), d-spencer (#140)",read,,,,,,,0,,,,,,,,,,,
744432,Eat or Be Eaten!: Jungle Warfare for the Corporate Master Politician,Phil Porter,"Porter, Phil",,0735201439,9780735201439,0,2,Prentice Hall Press,Paperback,256,2000,2000,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#614), d-spencer (#139)",read,,,,,,,0,,,,,,,,,,,
270829,Sarajevo Blues,Semezdin MehmedinoviÄ‡,"MehmedinoviÄ‡, Semezdin",Ammiel Alcalay,087286345X,9780872863453,0,4.03,City Lights Publishers,Paperback,122,2001,,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#613), d-spencer (#138)",read,,,,,,,0,,,,,,,,,,,
1761485,The Overnight,Ramsey Campbell,"Campbell, Ramsey",,0765312999,9780765312990,0,2.8,Tor Books,Hardcover,400,2005,2003,,3/2/13,"on-our-shelf, d-spencer","on-our-shelf (#612), d-spencer (#137)",read,,,,,,,0,,,,,,,,,,,
